発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
針状晶炭酸バリウムの製造方法,-,特願平03-349199,特開平05-155615,['信越化学工業'],[],1991.0,"['C01F11', 'C30B29']",22,"[22] 製造, 炭酸カルシウム, 紡錘状",18.426535,15.971735,-1,,,,炭酸塩製造・粒子制御技術,その他,その他
粒状炭酸バリウムの製造方法,-,特願平03-348291,特開平05-155614,['信越化学工業'],[],1991.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",17.696466,17.967253,-1,,,,炭酸塩製造・粒子制御技術,その他,その他
形態制御された単分散バテライト型炭酸カルシウムの製造方法,-,特願平03-348090,特開平05-155613,['丸尾カルシウム'],[],1991.0,"['C01F11', 'C08K3']",-1,ノイズ / 小クラスタ,21.230427,15.993325,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
中空粒子の製造方法,-,特願平03-327393,特開平05-154374,['ＪＦＥミネラル'],[],1991.0,"['B01J13', '301@M', 'C01B33', 'C01G23', 'B01J23', 'B01J35', 'C01F11']",18,"[18] 製造, 無機, 光学",16.399744,12.804167,-1,,,,その他,その他,その他
補強性充填剤の製造方法,-,特願平03-309247,特開平05-140474,['兵庫県'],[],1991.0,"['C09C3', 'C09C1', 'C01F11']",34,"[34] 製造, 貝殻, ドロマイト",15.893301,11.132351,-1,,,,その他,その他,配合・充填・抄紙プロセスの最適化
炭酸カルシウムの表面処理方法,-,特願平03-325316,特開平05-139728,['丸尾カルシウム'],[],1991.0,"['C09C1', 'C01F11', 'C30B29']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.896054,14.133654,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他,表面処理・複合化の適用
人工真珠製造方法および人工真珠製造装置,-,特願平03-288955,特開平05-124814,['長廣\u3000仁蔵'],[],1991.0,"['B01F35', 'B01F29', 'B01F25', 'B01F23', 'B01F3', 'C01F11']",-1,ノイズ / 小クラスタ,15.113292,11.320721,-1,,,,その他,その他,専用装置・プラントシステムの設計
ブロッキング防止剤,-,特願平03-314109,特開平05-117443,['丸尾カルシウム'],[],1991.0,"['C08L101', 'B29B13', 'C08J5', 'C08K3', 'C01F11']",33,"[33] 分散剤, 吸着剤, 分散質",16.277643,10.217168,-1,,,成熟・既存勢力 (Established),その他,その他,その他
フィルム用ポリオレフィン組成物,-,特願平03-314110,特開平05-117442,['丸尾カルシウム'],[],1991.0,"['C08J5', 'C01F11', 'C08L23', 'C08K3']",25,"[25] 顔料, 製造, 自己結合",14.406602,12.607416,-1,,,成熟・既存勢力 (Established),その他,その他,その他
高分散性板状炭酸カルシウムの製造方法,-,特願平03-307077,特開平05-116936,['協同組合津久見ファインセラミックス研究センター'],[],1991.0,"['C01F11', 'C08K3']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.870914,17.70697,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムで表面処理をする石炭質材料の製造法,-,特願平03-305564,特開平05-115745,['吉澤石灰工業'],[],1991.0,"['245', 'C10F7', '125@E', 'B01D53', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.718282,14.259492,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
炭酸化反応槽,-,実願平03-086792,実開平05-030120,['王子ホールディングス'],[],1991.0,"['B01J10', 'B01F25', '104', 'B01F23', 'B01F3', 'C01F11']",-1,ノイズ / 小クラスタ,17.606403,18.753511,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,その他
分散剤,-,特願平04-022133,特開平05-064735,"['丸尾カルシウム', '東亞合成']",[],1992.0,"['B01J13', 'C09K23', 'B01F17', 'C08L33', 'C01F11']",33,"[33] 分散剤, 吸着剤, 分散質",16.040752,10.106668,-1,,,成熟・既存勢力 (Established),その他,その他,その他
表面処理炭酸カルシウム及びその製造方法,-,特願平03-224609,特開平05-043815,['丸尾カルシウム'],[],1991.0,"['C09C3', 'C09C1', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.858804,14.035486,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
二軸配向ポリエステルフイルム,-,特願平03-334536,特開平05-043716,['帝人'],[],1991.0,"['C08J5', 'B29C55', 'C01F11', 'C08L67']",25,"[25] 顔料, 製造, 自己結合",14.354228,12.607798,-1,,,,その他,その他,その他
炭酸カルシウムコロイド溶液およびその製造方法並びに該コロイド溶液の用途,-,特願平03-174050,特開平05-017133,['日本触媒'],[],1991.0,"['B01J13', 'C08L29', 'C09C1', 'C04B35', 'C04B24', 'C08L33', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.115824,17.977257,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
両親媒性粒子及びその製造方法,-,特願平03-151156,特開平05-001238,['ＫＫ'],[],1991.0,"['B01J2', 'C01B33', 'C01F11', 'C09C3']",18,"[18] 製造, 無機, 光学",16.19148,12.646488,-1,,,,その他,その他,その他
炭酸石灰沈積物の製造方法,-,特願平03-134779,特開平04-362078,['積水化学工業'],[],1991.0,"['C04B41', 'C01F11']",28,"[28] 石灰石, 石灰, 製造",17.787846,11.319173,-1,,,,炭酸塩製造・粒子制御技術,その他,その他
多孔質炭酸カルシウム微細粒子及びその製造方法,-,特願平03-151155,特開平04-349116,['ＫＫ'],[],1991.0,"['C09C1', 'C01F11', 'C08K3']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.322954,14.606968,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
回収された海生物の処理方法,-,特願平03-149575,特開平04-346882,['日本碍子'],[],1991.0,"['C04B7', 'A23K1', 'B09B101:70', '101', '303@A', 'B09B5', 'C05D3', 'B09B3', '303@Z', 'F23G7', 'A23K20', 'A23K10', 'C01F11']",14,"[14] パルプ廃液, 回収, ライムマッド",16.643808,8.494714,-1,,,,その他,その他,その他
炭酸カルシウム用分散剤,-,特願平03-133565,特開平04-334536,['東ソー'],[],1991.0,"['D21H1', 'C09K23', 'C08F236', 'B01F17', 'C08L33', 'C09C3', 'C08L35', 'D21H19', 'C01F11']",13,"[13] 炭酸カルシウム, 散剤, 体用分解",21.439062,13.758084,-1,,,,その他炭酸塩関連技術,その他,その他
炭酸カルシウム用分散剤,-,特願平03-133564,特開平04-334535,['東ソー'],[],1991.0,"['D21H1', 'C09K23', 'C08F236', 'B01F17', 'C08L33', 'C08L35', 'D21H19', 'C01F11']",13,"[13] 炭酸カルシウム, 散剤, 体用分解",21.427925,13.772472,-1,,,,その他炭酸塩関連技術,その他,その他
針状形状をした大粒径のアラゴナイト結晶炭酸カルシウムの製造方法,-,特願平03-116971,特開平04-321515,['丸尾カルシウム'],[],1991.0,"['C01F11', 'C08K3']",2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.236942,8.060687,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
消石灰水溶液の製造過程で発生する未溶解物の処理方法,-,特願平03-103066,特開平04-310285,['ディックデグレモン'],[],1991.0,"['540@Z', 'C02F1', '530@G', '522@B', '530@C', '510@R', 'C01F11', '530@L']",28,"[28] 石灰石, 石灰, 製造",17.172018,10.85662,-1,,,,その他,その他,その他
微粒炭酸カルシウムの製造方法,-,特願平03-069785,特開平04-305012,['三菱マテリアル'],[],1991.0,"['C01F11', 'C08K3']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.756046,18.378023,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
アラゴナイト系柱状炭酸カルシウムの粒度調整方法,-,特願平03-081286,特開平04-295010,['奥多摩工業'],[],1991.0,"['D21H1', 'D21H19', 'C01F11', 'C08K3']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.741194,17.568033,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,粒子形状・結晶構造の制御,その他
ロープ把手,-,特願平03-067760,特開平04-294746,['松浦産業'],[],1991.0,"['B29D99', 'B29D31', 'B65D33', 'C08K3', 'C01F11', 'C08L23']",1,[1] ロープ把手,13.3500805,-5.887433,-1,,,,その他,その他,その他
バテライト型炭酸カルシウムの粒子成長方法、形態制御方法,-,特願平03-081532,特開平04-292414,['丸尾カルシウム'],[],1991.0,"['C01F11', 'C08K3']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.12234,14.618628,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他,その他
球状炭酸カルシウムの製造方法,-,特願平02-415863,特開平04-238812,['堺化学工業'],[],1990.0,"['C01F11', 'C08K7', 'C08K3']",16,"[16] 球状炭酸, 製造, カルシウム",19.082,12.669976,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
酸に対して安定化された炭酸カルシウム、その製法および酸性紙の製造にこれを用いる方法,-,特願平03-127002,特開平04-227665,['ミネラルズ・テクノロジーズ・インコーポレーテッド'],[],1991.0,"['D21H3', 'C09C1', 'C01F11', 'D21H17']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.161736,12.276076,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他の課題,その他
針状形状をしたアラゴナイト結晶形炭酸カルシウムの製造方法,-,特願平02-414304,特開平04-224110,['丸尾カルシウム'],[],1990.0,"['103@A', '103@C', 'C09K3', '510', '103@N', '520@K', '520@C', 'C08K3', '103@F', 'C01F11']",2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.249709,8.078291,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
貝殻からパール質部分を分離採集する方法,-,特願平02-286668,特開平04-160015,['フカイ工業'],[],1990.0,"['A61K33', 'C02F1', 'A61P3', '521@N', '510@C', 'C01F11']",34,"[34] 製造, 貝殻, ドロマイト",16.506062,11.313365,-1,,,,その他,その他,その他
超活性化炭酸カルシウム超微粒粉末製造装置,-,特願平02-267952,特開平04-145961,"['青木\u3000美徳', '笹田\u3000一陽']",[],1990.0,"['B02C19', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.31371,18.355442,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
既イオン性可能な炭酸カルシウム粉末と結晶の製造方法,-,特願平02-267953,特開平04-144912,"['青木\u3000美徳', '笹田\u3000一陽']",[],1990.0,"['A61K33', 'C01F11', 'A61P3']",2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.092022,7.825419,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウム組成物を含有する高分子組成物の製法,-,特願平02-416724,特開平04-139020,['四国化成工業'],[],1990.0,"['C08L75', 'C08G18', 'C08L67', 'C08G63', '038', '003', 'C08K3', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.796227,15.172831,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
流動焼成炉を用いた炭酸カルシウムの製造方法,-,特願平02-262085,特開平04-139019,"['丸尾カルシウム', '川崎重工業']",[],1990.0,"['C09C1', 'F27B15', 'B01J8', 'C08K3', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.70796,17.740267,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他の手段
沈降炭酸カルシウム,-,特願平03-515528,特表平06-501235,['イーシーシー\u3000インターナショナル\u3000リミテッド'],[],1991.0,"['D21H1', 'C04B2', 'D21H3', 'D21H17', 'D21H19', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",20.059181,14.580587,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
溶鋼容器のスラグビルドアップ防止剤および防止方法,-,特願平02-232687,特開平04-116117,"['ハリマセラミック', '新日本製鐵']",[],1990.0,"['C21C5', 'C01F11', 'B22D1']",29,"[29] 鉱物, 重金属, 製造",15.152724,10.742264,-1,,,,その他,その他,その他
板状塩基性炭酸カルシウムの形状安定化方法,-,特願平02-212588,特開平04-097910,['協同組合津久見ファインセラミックス'],[],1990.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",20.417427,17.816637,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他の課題,その他
バリウムを含有する無機固体組成物の製造方法、この種の組成物、陶磁器類を製造するための添加剤および陶磁器類,-,特願平02-401823,特開平04-092850,['カリ－ヒェミー\u3000アクチェンゲゼルシャフト'],[],1990.0,"['C04B33', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.769696,9.162349,-1,,,,その他,その他,配合・充填・抄紙プロセスの最適化
貝殻からパール質部分を分離採集する方法,-,特願平02-205693,特開平04-090889,['フカイ工業'],[],1990.0,"['A61K33', '540@E', 'C02F1', '510@B', 'C01F11', '520@M']",34,"[34] 製造, 貝殻, ドロマイト",16.504528,11.313619,-1,,,,その他,その他,その他
着色炭酸カルシウムの製造方法,-,特願平02-187975,特開平04-077312,['新王子製紙'],[],1990.0,"['D21H3', 'C01F11', 'D21H17', 'D21H21']",17,"[17] 軽質炭酸, カルシウム, 製造",22.12218,18.003796,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
沈澱炭酸カルシウム,-,特願平03-512822,特表平05-501702,['イーシーシー\u3000インターナショナル\u3000リミテッド'],[],1991.0,"['D21H1', 'C04B2', 'D21H3', 'D21H17', 'D21H19', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",20.064102,14.54884,-1,,,,その他炭酸塩関連技術,その他,その他
球状粒子炭酸カルシウムの製造方法,-,特願平02-152071,特開平04-046013,['矢橋工業'],[],1990.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.091066,13.031125,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
人工砂の製造法,-,特願平02-145998,特開平04-042810,['量産パネル工業協同組合'],[],1990.0,['C01F11'],34,"[34] 製造, 貝殻, ドロマイト",16.696997,11.371059,-1,,,,その他,その他,その他
バテライトおよびその製法,-,特願平03-511827,特表平05-509282,['ロイスト・リシェルシュ・エ・デブロプマン・ソシエテ・アノニム'],[],1991.0,"['A61K7', 'A61Q11', 'C11D3', 'G11B5', 'A61K8', 'C01F11']",34,"[34] 製造, 貝殻, ドロマイト",15.696637,11.568646,-1,,,,その他,その他,その他
無機粉体の二層表面処理方法,-,特願平02-140897,特開平04-033967,['三菱マテリアル'],[],1990.0,"['C09C3', 'C01F11']",-1,ノイズ / 小クラスタ,15.20514,13.594555,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,表面処理・複合化の適用
バテライト型炭酸カルシウムを含有するポリエステル組成物,-,特願平02-137486,特開平04-031456,['源吉\u3000嗣郎'],[],1990.0,"['C08K9', 'C01F11', 'C08L67', 'C08K3']",25,"[25] 顔料, 製造, 自己結合",14.531753,12.958966,-1,,,,その他炭酸塩関連技術,その他,その他
バテライト型炭酸カルシウムの安定化方法,-,特願平02-137485,特開平04-031319,['丸尾カルシウム'],[],1990.0,"['C09C1', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",20.107769,18.255589,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他の課題,その他
炭酸カルシウムの二層表面処理方法,-,特願平02-133236,特開平04-031318,['三菱マテリアル'],[],1990.0,"['C08K9', 'C09C1', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.961443,13.990748,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,表面処理・複合化の適用
穴の開いた板状炭酸カルシウム及びその製造方法,-,特願平02-137484,特開平04-031317,['丸尾カルシウム'],[],1990.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.206507,18.797913,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
単分散した板状炭酸カルシウム及びその製造方法,-,特願平02-137483,特開平04-031316,['丸尾カルシウム'],[],1990.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.86509,17.681814,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
フィルムのブロッキング防止用球状又は楕円球状バテライト炭酸カルシウム,-,特願平02-137482,特開平04-031315,['丸尾カルシウム'],[],1990.0,"['C09C1', 'C01F11']",16,"[16] 球状炭酸, 製造, カルシウム",19.707277,12.708156,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他,その他
立方状炭酸カルシウムの製造方法,-,特願平02-133237,特開平04-031314,['三菱マテリアル'],[],1990.0,['C01F11'],21,"[21] 立方形, 立方体状, 炭酸カルシウム",17.45284,16.576036,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
感熱紙用炭酸カルシウム顔料、その製造法、感熱紙用塗被組成物及び感熱紙,-,特願平02-122517,特開平04-021518,['白石中央研究所'],[],1990.0,"['D21H1', 'C09C1', '212', 'C08K3', '101@C', 'D21H19', 'B41M5', 'C01F11']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.60096,11.898085,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,その他
製鋼スラグを用いた膨張性のないスラグの製造方法,-,特願平02-116914,特開平04-016533,"['太平工業', '新日本製鐵']",[],1990.0,"['C04B7', 'B02C19', 'C04B18', 'C04B5', 'C01F11']",29,"[29] 鉱物, 重金属, 製造",15.10582,10.738944,-1,,,,その他,その他,その他
炭酸カルシウムの表面処理方法,-,特願平02-105051,特開平04-006105,['三菱マテリアル'],[],1990.0,"['C08K9', 'C09C1', 'C01F11']",19,"[19] 炭酸カルシウム, 製造, ゴム",14.861706,14.079655,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,表面処理・複合化の適用
高固体含有水性炭酸カルシウム懸濁物の製造方法及び分散剤,-,特願平03-511803,特表平06-504939,['アイメリーズ\u3000ピグメンツ，インコーポレーテッド'],[],1991.0,"['B01J13', 'C08L41', 'D21H3', '101', 'D21H17', 'C08L33', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",18.009178,8.563908,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
表面改質剤のコーティング方法,-,特願平02-102489,特開平04-004075,['コトブキ技研工業'],[],1990.0,"['B05D7', 'C01F11', 'B05D5', 'B05D1']",34,"[34] 製造, 貝殻, ドロマイト",15.80108,10.970097,-1,,,,その他,その他,表面処理・複合化の適用
繊維状炭酸カルシウムの製造方法,-,特願平02-091853,特開平03-290313,['広島県'],[],1990.0,"['B09B101:70', 'B09B3', 'C30B29', '304', 'C01F11']",22,"[22] 製造, 炭酸カルシウム, 紡錘状",18.156078,16.191725,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
板状塩基性炭酸カルシウムの製造方法,-,特願平02-086814,特開平03-285816,['協同組合津久見ファインセラミックス研究センター'],[],1990.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",20.65292,17.636292,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
粉体の乾燥法,-,特願平02-085118,特開平03-284301,['日本エヌエスシー'],[],1990.0,"['C01F11', 'B01D12']",-1,ノイズ / 小クラスタ,13.62613,11.212409,-1,,,,その他,その他,その他
ウイスカー状炭酸カルシウムを配合してなる樹脂組成物及び該組成物からなる成形体,-,特願平02-080271,特開平03-279245,['丸尾カルシウム'],[],1990.0,"['C04B26', 'C08K7', 'C08K3', 'C04B14', 'C01F11']",-1,ノイズ / 小クラスタ,13.632634,12.925256,-1,,,成熟・既存勢力 (Established),高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
軽質炭酸カルシュウムの製造方法,-,特願平01-260543,特開平03-261618,['中山石灰工業'],[],1989.0,['C01F11'],17,"[17] 軽質炭酸, カルシウム, 製造",22.127457,17.92289,-1,,,,その他,その他,その他
湿り粉状炭酸カルシウムの製造方法,-,特願平02-024356,特開平03-228819,['東洋電化工業'],[],1990.0,"['D21H3', 'C01F11', 'D21H17']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.647459,17.88815,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
発熱化学反応への液体二酸化炭素の注入,-,特願平03-507390,特表平05-508144,['リクィッド・カーボニック・コーポレーション'],[],1991.0,"['C01F11', 'C01B32', 'C01D7', 'C01B31']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.847423,18.392282,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,その他,その他
凝集炭酸カルシウムの製造方法,-,特願平01-334980,特開平03-197318,['奥多摩工業'],[],1989.0,"['D21H1', 'D21H19', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.87067,18.41459,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
隠蔽性の優れた塗料用組成物,-,特願平01-329050,特開平03-190972,['恒和化学工業'],[],1989.0,"['C09C3', 'C09D5', 'C09C1', 'C01F11']",-1,ノイズ / 小クラスタ,13.0353155,11.59823,-1,,,,その他,その他,その他
紡錘状炭酸カルシウムの製造方法,-,特願平01-320600,特開平03-183618,['奥多摩工業'],[],1989.0,['C01F11'],22,"[22] 製造, 炭酸カルシウム, 紡錘状",18.196497,16.245667,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
球状炭酸カルシウムの製造方法,-,特願平01-304831,特開平03-170327,['日鉄鉱業'],[],1989.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.104124,12.700083,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
球形沈降炭酸カルシウム粒子をもつ紙シート,-,特願平02-266143,特開平03-152297,['ミネラルズ\u3000テクノロジーズ\u3000インコーポレイテッド'],[],1990.0,"['D21H1', 'D21H19', 'C01F11']",16,"[16] 球状炭酸, 製造, カルシウム",19.328148,13.191112,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
アルカリ性紙及びアルカリ性水性組成物,-,特願平02-247623,特開平03-130497,['アイシイアイ・カナダ・インコーポレイテツド'],[],1990.0,"['D21H3', 'C01F11', 'D21H17', 'D21H21']",26,"[26] 水性, 脱水, 石灰泥",16.97767,9.455888,-1,,,,その他,その他,その他
塩基性炭酸カルシウムの製造方法,-,特願平01-267835,特開平03-126616,['工業技術院長'],[],1989.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.63516,18.33018,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
連鎖状軽質炭酸カルシュウム並びにその製造方法,-,特願平01-260542,特開平03-122015,['中山石灰工業'],[],1989.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",19.229599,17.36495,-1,,,,その他,その他,その他
板状塩基性炭酸カルシウム,-,特願平02-143642,特開平03-115120,"['工業技術院長', 'カルシード']",[],1990.0,['C01F11'],24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.933155,14.860072,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
炭酸カルシウム水溶液の製造方法、及びその製造装置,-,特願平01-254732,特開平03-115119,['古城\u3000幸男'],[],1989.0,['C01F11'],27,"[27] 炭酸カルシウム, 水性, 製造",18.145487,8.543894,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
着色炭酸カルシウムの製造方法,-,特願平01-227488,特開平03-093618,['新王子製紙'],[],1989.0,"['D21H3', 'C01F11', 'D21H17', 'D21H21']",17,"[17] 軽質炭酸, カルシウム, 製造",22.150173,18.050272,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
針状形状をしたアラゴナイト結晶形炭酸カルシウムの製造方法,-,特願平02-158055,特開平03-088714,['丸尾カルシウム'],[],1990.0,"['D21H3', 'C01F11', 'D21H17', 'C08K3']",2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.281903,8.117222,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
親油性変性塩基性炭酸カルシウムおよびその製造方法,-,特願平01-214880,特開平03-080107,"['工業技術院長', 'ニッチツ', '秩父石灰工業']",[],1989.0,"['C08K9', 'C09C1', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.624685,18.176847,-1,,,衰退・ニッチ (Declining/Niche),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
微粒子の製造方法,-,特願平01-197272,特開平03-060729,['野々川商事'],[],1989.0,"['B01J13', 'B01D61', 'C01B25', 'B01J19', 'C01B32', 'C01B31', 'C01B17', 'C01F11']",18,"[18] 製造, 無機, 光学",16.842352,13.036738,-1,,,,その他,その他,その他
バテライト型炭酸カルシウム,-,特願平01-197433,特開平03-060427,['丸尾カルシウム'],[],1989.0,"['A61K33', 'A23K1', 'A61P3', 'A23K20', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",19.961544,14.705391,-1,,,成熟・既存勢力 (Established),その他炭酸塩関連技術,その他,その他
ＰＶＣ用安定剤,-,特願平01-191389,特開平03-056551,"['工業技術院長', '日鉄鉱業']",[],1989.0,"['C01F11', 'C08K3']",25,"[25] 顔料, 製造, 自己結合",14.418669,12.693488,-1,,,衰退・ニッチ (Declining/Niche),その他,その他の課題,その他
球状炭酸カルシウムの製造方法,-,特願平01-186236,特開平03-050116,['ハットリ'],[],1989.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.113081,12.711001,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ガス吹込装置及び気液接触装置,-,特願平01-171859,特開平03-038232,['奥多摩工業'],[],1989.0,"['C02F3', 'B01D53', 'B01J10', 'B01F25', '104', 'B01F23', 'B01F3', 'C01F11']",-1,ノイズ / 小クラスタ,16.708708,18.633215,-1,,,衰退・ニッチ (Declining/Niche),その他,その他,専用装置・プラントシステムの設計
粒状無機固体の製造法及び該製造法で製造される粒状無機固体,-,特願平02-110677,特開平03-030826,['インペリアル・ケミカル・インダストリーズ・ピーエルシー'],[],1990.0,"['B01J2', 'C01F5', 'C01F11', 'C01G9']",18,"[18] 製造, 無機, 光学",16.177534,12.668541,-1,,,,その他,その他,その他
